Haplotype	Contig	Length	NumProdV	Order	LatinName	CommonName	sample	locus	R15_5	hmrc	pi_min	pi_mean	pi_max	sim_95	Simple_repeat	LINE/L1	LTR/ERVL-MaLR	LTR/ERVL	LTR/ERV1	Low_complexity
paternal	17_H_hifiasm	477857	38	Artiodactyla	Bos taurus	cattle	mBosTau	IGL	0.0017787748217562	low	0.6153846153846154	89.8762307121736	1.0	44.73684210526316	0.0116813188882866	0.0326290082597932	0.0086155481660831	0.0038568023488198	0.010534532297319	0.0014188345048832
maternal	10_O_hifiasm	2725129	127	Artiodactyla	Bos taurus	cattle	mBosTau	TRA	0.0647510631606797	low	0.5994152046783626	92.19593362244208	0.986254295532646	33.07086614173228	0.0120456682968035	0.1547868009184152	0.008108240013592	0.0234282487177671	0.0026934504751885	0.0031352644223447
paternal	4_H_hifiasm	720614	43	Artiodactyla	Bos taurus	cattle	mBosTau	TRB	0.1932810075851981	medium	0.5971830985915493	90.00158463508004	1.0	48.837209302325576	0.0098943401044109	0.0994277102581964	0.008743932257769	0.014489032963556	0.0005800608925166	0.0013432989089859
haplotype1	SUPER_5	414693	25	Artiodactyla	Camelus dromedarius	dromedary	mCamDro1	IGH	0.2860573966765776	medium	0.8539682539682539	93.85232390189324	1.0	44.0	0.0385345303634254	0.0740885426086285	0.0057343625284246	0.0438396597000672	0.0246495600359784	0.0008102379350507
haplotype2	SUPER_33	112659	9	Artiodactyla	Camelus dromedarius	dromedary	mCamDro1	IGK	0.0	low	0.580110497237569	81.52321150266118	0.8819672131147541	0.0	0.0069413007393994	0.1578924009621956	0.0165987626376942	0.0052903008192865	0.002556386973078	0.0031777310290345
haplotype1	SUPER_31	424909	45	Artiodactyla	Camelus dromedarius	dromedary	mCamDro1	IGL	0.0	low	0.5721518987341773	85.04424291944568	0.9860627177700348	6.66666666666666	0.0109599937869049	0.1338215947414623	0.0136570418607278	0.0435199066152988	0.000983740047869	0.0013085154703713
haplotype2	SUPER_5	589637	49	Artiodactyla	Camelus dromedarius	dromedary	mCamDro1	TRA	0.0	low	0.520891364902507	90.21536661791775	1.0	57.14285714285714	0.0109626770368887	0.1698231284671755	0.0117088988648948	0.0364614160915953	0.0035767768983289	0.001112548907209
haplotype1	SUPER_7	317771	18	Artiodactyla	Camelus dromedarius	dromedary	mCamDro1	TRB	0.0	low	0.5039164490861618	86.10589003786498	1.0	55.55555555555556	0.0069798691510553	0.1289387640785345	0.0156150183622797	0.0185920049343709	0.0037700104792444	0.0022311664689351
primary	SUPER_8	2515529	79	Carnivora	Canis lupus orion	Greenland wolf	mCanLor1	IGH	0.2780663629797152	medium	0.6149584487534626	93.66794681353576	1.0	49.36708860759494	0.0205785741289406	0.3751532977755374	0.023299274228204	0.0147086358376309	0.0071877525562217	0.0058778889052759
primary	SUPER_17	308552	17	Carnivora	Canis lupus orion	Greenland wolf	mCanLor1	IGK	0.0628451606212243	low	0.6601123595505618	88.363967075412	0.9738562091503268	29.411764705882348	0.020554071923047	0.2167803157976613	0.0066180092820659	0.0390728305115507	0.0036849542378594	0.0035455936114496
primary	SUPER_26	4710264	162	Carnivora	Canis lupus orion	Greenland wolf	mCanLor1	IGL	0.3194298663514401	medium	0.5809018567639257	95.3271293937311	1.0	69.1358024691358	0.0211720616933573	0.251476138067845	0.0079577280594038	0.0069388892002656	0.0097463751500977	0.0073961884089724
primary	SUPER_8	449814	17	Carnivora	Canis lupus orion	Greenland wolf	mCanLor1	TRA	0.0	low	0.522911051212938	79.46045899209855	0.9929078014184396	29.411764705882348	0.0258684700787436	0.273566407448412	0.0079388369414913	0.022040221069153	0.0075097707052248	0.007841018732187
primary	SUPER_16	234736	6	Carnivora	Canis lupus orion	Greenland wolf	mCanLor1	TRB	0.0	low	0.5105820105820106	66.36322155574742	0.9326599326599326	0.0	0.0211897621157385	0.1010837707041101	0.021355906209529	0.0185825778747188	0.0022535955285938	0.0067778270056574
primary	SUPER_10	7248931	217	Rodentia	Chionomys nivalis	European snow vole	mChiNiv1	IGH	0.0500349637760381	low	0.6215139442231076	92.92194481554964	1.0	43.31797235023041	0.0146207764979415	0.2381491836520446	0.011380712549202	0.0006318172983023	0.0012608755691011	0.0047357327583887
primary	SUPER_1	2697566	62	Rodentia	Chionomys nivalis	European snow vole	mChiNiv1	IGK	0.0	low	0.6256983240223464	83.51599827260287	0.972318339100346	3.2258064516128995	0.0157645818489705	0.2270420816395224	0.0150198364006663	0.001483188919196	0.0023528618020838	0.0039576418148805
alternate	atg000166l_1	669292	8	Rodentia	Chionomys nivalis	European snow vole	mChiNiv1	IGL	0.0	low	0.5380577427821522	78.06240024117068	0.902439024390244	0.0	0.0172540535371706	0.2331254519701416	0.014149280134829	0.0006887875546099	0.0006320111401301	0.0049275951303765
primary	SUPER_12	5362398	56	Rodentia	Chionomys nivalis	European snow vole	mChiNiv1	TRA	0.3081308026744751	medium	0.6470588235294118	88.54511403598944	0.9719298245614036	7.14285714285714	0.0183266889179057	0.2195417050356948	0.020559645143833	0.0035954063834873	0.0015966737269408	0.0057037914753809
haplotype2	JAPDVU010000001.1	1530347	168	Chiroptera	Corynorhinus townsendii	Townsend's Big-eared Bat	mCorTow1.0	IGH	0.0395119538248514	low	0.4678899082568807	93.3810551804021	1.0	53.57142857142857	0.037451636785644	0.1320047022015268	0.0098239157524404	0.0102970110700383	0.0154402890324874	0.0060567962690814
haplotype2	JAPDVU010000014.1	1026956	127	Chiroptera	Corynorhinus townsendii	Townsend's Big-eared Bat	mCorTow1.0	IGL	0.0918705377835077	medium	0.6136986301369863	93.4133134200536	1.0	44.88188976377952	0.0221557690884516	0.0348038280121056	0.0044958109208184	0.0129703706877412	0.0019504243609268	0.0057704517038704
haplotype2	JAPDVU010000001.1	901696	37	Chiroptera	Corynorhinus townsendii	Townsend's Big-eared Bat	mCorTow1.0	TRA	0.0	low	0.5270655270655271	82.99840903805791	1.0	48.64864864864865	0.0168859571296756	0.1595593193271346	0.0097327702462914	0.0105512279082972	0.0043362729789197	0.0034058041734686
haplotype2	JAPDVU010000004.1	232820	6	Chiroptera	Corynorhinus townsendii	Townsend's Big-eared Bat	mCorTow1.0	TRB	0.0	low	0.4986876640419947	67.0059387597366	0.8859934853420195	0.0	0.0162958508719182	0.1303152650115969	0.0078988059445064	0.023185293359677	0.0	0.0023881109870286
primary	SUPER_3	2095301	97	Dermoptera	Cynocephalus volans	Philippine flying lemur	mCynVol1	IGH	0.5267252771797465	medium	0.6222826086956522	94.38066273354356	1.0	62.88659793814433	0.0182627698836587	0.2912416879484141	0.0304080416131142	0.0049138524727473	0.0212317943818095	0.0030372724491612
primary	SUPER_14	1524095	48	Dermoptera	Cynocephalus volans	Philippine flying lemur	mCynVol1	IGK	0.0038048809293383	low	0.6140845070422535	89.3514534479933	0.9930555555555556	35.41666666666667	0.0145161554889951	0.2618353842772268	0.0333522516641023	0.0175369645592958	0.0049622890961521	0.0029473228374871
primary	SUPER_2	1484887	29	Dermoptera	Cynocephalus volans	Philippine flying lemur	mCynVol1	IGL	0.1265584519226042	medium	0.6561604584527221	96.11148030929371	1.0	79.3103448275862	0.0100606982214808	0.3061647115235031	0.0351757406455844	0.0154247427582031	0.0099920061257186	0.0015428783469718
primary	SUPER_3	1007584	41	Dermoptera	Cynocephalus volans	Philippine flying lemur	mCynVol1	TRA	0.0	low	0.5257452574525745	79.08449175832467	0.971326164874552	14.634146341463412	0.0105668609267316	0.345498737574237	0.0336855289484549	0.0310862419411185	0.0077680868294851	0.0031511020421126
primary	SUPER_6	442700	30	Dermoptera	Cynocephalus volans	Philippine flying lemur	mCynVol1	TRB	0.0	low	0.5336927223719676	76.76536135551625	0.9269102990033222	0.0	0.0104721030042918	0.2488276485204427	0.0291958436864693	0.0407138016715608	0.0033747458775694	0.0010187485882087
haplotype2	SUPER_19	12881005	84	Cingulata	Dasypus novemcinctus	nine-banded armadillo	mDasNov1	IGH	0.0489360108159262	low	0.6185286103542235	84.97514994705968	0.944078947368421	0.0	0.011161085645103	0.2200371787760349	0.0106415609651576	0.0177922452479445	0.003067850684011	0.0036840293129301
haplotype2	SUPER_17	16437496	94	Cingulata	Dasypus novemcinctus	nine-banded armadillo	mDasNov1	IGK	0.4612369183238128	medium	0.8222222222222222	96.04105088816578	1.0	64.8936170212766	0.0101269682438249	0.2420486064300791	0.0216186212303869	0.0086570971637042	0.0081135228869409	0.0035704343289269
haplotype2	SUPER_19	5820857	86	Cingulata	Dasypus novemcinctus	nine-banded armadillo	mDasNov1	IGL	0.0024578854969294	low	0.556390977443609	80.39532225667055	0.9228295819935692	0.0	0.0093951801255382	0.1990681097302339	0.009331787398316	0.0107905073084599	0.0053528200400731	0.0034996564938805
haplotype1	SUPER_3	1046790	30	Cingulata	Dasypus novemcinctus	nine-banded armadillo	mDasNov1	TRA	0.0	low	0.5406162464985994	77.1615784590066	0.9722222222222222	6.66666666666666	0.0110031620477841	0.228340927979824	0.0147842451685629	0.0408114330476982	0.0052866381986835	0.0041689355075994
haplotype2	SUPER_5	384740	19	Cingulata	Dasypus novemcinctus	nine-banded armadillo	mDasNov1	TRB	0.0	low	0.5994475138121547	79.10948661684186	0.9463087248322148	0.0	0.0084602588761241	0.1704267817227218	0.0106591464365545	0.0143785413526017	0.0009720850444455	0.0026121536622134
paternal	scaffold_22	2040864	83	Perissodactyla	Diceros bicornis	black rhinoceros	mDicBic1	IGH	0.2230011406933534	medium	0.6225895316804407	89.69436209180614	1.0	39.75903614457831	0.0112222078492246	0.1893021779011242	0.0243705607037019	0.0699292064537372	0.0417337950985464	0.0012445709268231
paternal	scaffold_33	1689190	47	Perissodactyla	Diceros bicornis	black rhinoceros	mDicBic1	IGL	0.007095116594344	low	0.6225352112676056	82.30612044301948	1.0	8.51063829787234	0.0094879794457698	0.2418129399297888	0.0158774323788324	0.0545569178126794	0.0186852870310622	0.0013473913532521
paternal	scaffold_11	2330140	86	Perissodactyla	Diceros bicornis	black rhinoceros	mDicBic1	TRA	0.1516243659179277	medium	0.5277777777777778	85.59248168606146	0.9861111111111112	9.30232558139534	0.0098208691323268	0.227288918262422	0.0338735011630202	0.0498536568618194	0.0167123005484648	0.0023002909696413
paternal	scaffold_2	699483	23	Perissodactyla	Diceros bicornis	black rhinoceros	mDicBic1	TRB	0.0012552127785807	low	0.5185185185185185	78.77287292421026	0.9006622516556292	0.0	0.0077914688419875	0.1686245412683367	0.0254902549454382	0.0307541427025388	0.0201005599850175	0.0025047070479196
alternate	JANKKK010000358.1	759884	69	Rodentia	Dipodomys merriami	Merriam’s Kangaroo Rat	mDipMer1.0	IGH	0.0	low	0.6198347107438017	94.24146228813952	0.986842105263158	43.47826086956521	0.0195029767701386	0.1016813092524648	0.0062285822572919	0.0013896857941475	0.0042690726479304	0.0026280326997278
primary	JANKKJ010000036.1	4560734	88	Rodentia	Dipodomys merriami	Merriam’s Kangaroo Rat	mDipMer1.0	IGK	0.4497971159905401	medium	0.7393939393939394	94.96088319438005	1.0	63.63636363636363	0.0239634672839942	0.1206323368124516	0.0025513437091485	0.0010476383845231	5.832394522460639e-05	0.0047634876315961
primary	JANKKJ010000002.1	1037879	27	Rodentia	Dipodomys merriami	Merriam’s Kangaroo Rat	mDipMer1.0	TRA	0.0	low	0.5514285714285714	86.41564541807054	0.9858657243816256	44.44444444444444	0.0263527829351976	0.2148246568241577	0.0025002914597944	0.005499677708095	0.0003237371601121	0.0057106849642395
alternate	JANKKK010000046.1	277027	7	Rodentia	Dipodomys merriami	Merriam’s Kangaroo Rat	mDipMer1.0	TRB	0.0	low	0.503957783641161	79.16652108588926	0.986254295532646	57.14285714285714	0.0298743443779848	0.0717655679771285	0.0055409761503391	0.0014583416056918	0.0	0.0041440004042927
primary	SUPER_21	2919906	54	Proboscidea	Elephas maximus	Asiatic elephant	mEleMax1	IGH	0.2095129089772068	medium	0.6837606837606838	88.31374824836256	0.9730639730639732	7.4074074074074	0.0121586105854092	0.2112931032711327	0.0179937299351417	0.0171628812708354	0.0007534489123964	0.0026093305743404
primary	SUPER_17	3916563	79	Proboscidea	Elephas maximus	Asiatic elephant	mEleMax1	IGK	0.6621341211669517	high	0.6754385964912281	93.44833430039976	1.0	50.63291139240506	0.0079682109032843	0.2029784788346312	0.0127343796078347	0.0105860674269761	0.0027789671709608	0.0017688978831695
primary	SUPER_22	321700	3	Proboscidea	Elephas maximus	Asiatic elephant	mEleMax1	IGL	0.1723469070562636	medium	0.7962962962962963	84.23551756885091	0.8653846153846154	0.0	0.004152937519428	0.2645321728318309	0.0324339446689462	0.0525520671433012	0.011249611439229	0.0022505439850792
primary	SUPER_10	1589477	40	Proboscidea	Elephas maximus	Asiatic elephant	mEleMax1	TRA	0.0557975988328236	low	0.5464788732394367	84.68257978364574	1.0	27.500000000000004	0.0094131591712242	0.2382928472698881	0.0119630545141578	0.0281709014977882	0.0029468812697509	0.001849035877839
primary	SUPER_8	1065097	32	Proboscidea	Elephas maximus	Asiatic elephant	mEleMax1	TRB	0.536967994464354	medium	0.5320855614973262	92.89162735848232	1.0	71.875	0.0348850855837543	0.1590850410807654	0.0095315262365775	0.0165778328171049	0.0	0.0009773757695308
alternate	atg001381l_1	1527554	246	Chiroptera	Eptesicus nilssonii	northern bat	mEptNil1	IGH	0.1518342395751639	medium	0.838006230529595	97.46655389221324	1.0	80.89430894308943	0.0320597504245349	0.1153392940609628	0.0145088160549479	0.0125619127048863	0.0147346673178165	0.0035835067041819
primary	SUPER_22	772302	128	Chiroptera	Eptesicus nilssonii	northern bat	mEptNil1	IGL	0.0326271329091469	low	0.6174863387978142	90.05290692060804	1.0	23.4375	0.0222179924433706	0.0450549137513563	0.0055457580065829	0.010236928041103	0.0011290919873313	0.008868292455542
primary	SUPER_4	632348	36	Chiroptera	Eptesicus nilssonii	northern bat	mEptNil1	TRA	0.0	low	0.5164835164835165	78.50417371605299	0.993006993006993	11.11111111111111	0.0227517126645454	0.1864179217772492	0.0096718895291832	0.0203495543593084	0.0049608759733564	0.0039139840720615
primary	SUPER_12	255216	16	Chiroptera	Eptesicus nilssonii	northern bat	mEptNil1	TRB	0.0	low	0.5146666666666667	67.79655447830169	0.799373040752351	0.0	0.0165741959751739	0.1072777568804463	0.0118644599084696	0.0209391260736004	0.0	0.0042513008588803
primary	SUPER_14	1811342	13	Eulipotyphla	Erinaceus europaeus	western European hedgehog	mEriEur2	IGH	0.0	low	0.8090909090909091	91.41199582375495	1.0	30.76923076923077	0.0217584531248102	0.2580545253187968	6.293676180423133e-05	0.000194331053992	0.0001954352077078	0.0055798408031172
primary	SUPER_3	180728	6	Eulipotyphla	Erinaceus europaeus	western European hedgehog	mEriEur2	IGK	0.0	low	0.6193029490616622	71.10935696448227	0.8018867924528302	0.0	0.0320536939489177	0.2139624186622991	0.0006529148776061	0.0011287680934885	0.0	0.0098379885795228
primary	SUPER_6	1160466	67	Eulipotyphla	Erinaceus europaeus	western European hedgehog	mEriEur2	IGL	0.0	low	0.6098901098901099	82.4925385254579	0.9743589743589745	5.97014925373134	0.0485692816506472	0.0662190878491916	0.0005239274567285	0.0002628254511549	0.0	0.0113152819643143
primary	SUPER_16	543774	15	Eulipotyphla	Erinaceus europaeus	western European hedgehog	mEriEur2	TRA	0.0	low	0.5149051490514905	68.69899758608511	1.0	13.33333333333333	0.048555098257732	0.0566283051414742	0.0063059285659115	0.0067491273948368	0.0046710581969715	0.0128472490409618
primary	SUPER_8	341454	7	Eulipotyphla	Erinaceus europaeus	western European hedgehog	mEriEur2	TRB	0.0	low	0.5264550264550265	75.92745650035992	1.0	28.57142857142857	0.0410479888945509	0.0701002184774523	0.0	0.0	0.0	0.012309125094449
primary	SUPER_22	1751337	30	Hyracoidea	Heterohyrax brucei	Yellow-spotted hyrax	mHetBru1	IGH	0.0080401430449993	low	0.6694915254237288	82.72268862934484	0.9276315789473684	0.0	0.0106929734254458	0.1833507771491152	0.0082257155533172	0.0146368174714518	0.0007519969029375	0.0012339144322309
primary	SUPER_23	1585334	62	Hyracoidea	Heterohyrax brucei	Yellow-spotted hyrax	mHetBru1	IGK	0.0	low	0.6434540389972145	85.77047817706739	0.9523809523809524	3.2258064516128995	0.0085647567011115	0.1461502749578322	0.0136053349010366	0.0078614348774453	5.8031935226267774e-05	0.0024247256414105
primary	SUPER_21	135078	2	Hyracoidea	Heterohyrax brucei	Yellow-spotted hyrax	mHetBru1	IGL	0.0	low	0.7484662576687117	74.84662576687117	0.7484662576687117	0.0	0.0030204770576999	0.1748915441448644	0.014465716104769	0.0913028028250344	0.0037089681517345	0.0018433793808022
alternate	atg001324l_1	1241558	29	Hyracoidea	Heterohyrax brucei	Yellow-spotted hyrax	mHetBru1	TRA	0.0	low	0.5994236311239193	76.9134929214256	0.9096989966555185	0.0	0.0060158284993532	0.1961559588839184	0.0109966670908648	0.0262412227217737	0.0013394460830665	0.0020152099217273
alternate	atg000946l_1	467504	9	Hyracoidea	Heterohyrax brucei	Yellow-spotted hyrax	mHetBru1	TRB	0.0	low	0.5292553191489362	67.0067450834522	0.7522658610271903	0.0	0.014598805571717	0.1131690851842978	0.0089838803518258	0.0050373900544166	0.0003144358123139	0.0033133406345186
haplotype1	JASFZM010000003.1	932486	101	Artiodactyla	Hippopotamus amphibius kiboko	hippopotamus	mHipAmp2	IGH	0.7392550665640021	high	0.7647058823529411	96.92610855504049	1.0	67.32673267326733	0.0101299107975883	0.1435549702622881	0.0037662763837741	0.0004107300270459	0.0351297499372644	0.0011528323213431
haplotype2	NC_080192.1	286762	14	Artiodactyla	Hippopotamus amphibius kiboko	hippopotamus	mHipAmp2	IGK	0.0	low	0.6446991404011462	83.36212047362649	0.9738562091503268	14.28571428571428	0.0180532985542017	0.2150738242863419	0.012076216514043	0.0516107434039377	0.005499333942433	0.0032396203123147
haplotype1	JASFZM010000007.1	396945	24	Artiodactyla	Hippopotamus amphibius kiboko	hippopotamus	mHipAmp2	IGL	0.2163926992404489	medium	0.6081081081081081	94.14472705090606	0.9966329966329966	83.33333333333334	0.0143017294587411	0.0959830707024902	0.0174633765383113	0.0420990313519505	0.0	0.0035093022962878
haplotype2	NC_080187.1	1167436	64	Artiodactyla	Hippopotamus amphibius kiboko	hippopotamus	mHipAmp2	TRA	0.0	low	0.5437158469945356	86.86093775672549	1.0	25.0	0.0129052042253279	0.2406598734320339	0.0142243343532322	0.0364413980723568	0.0065536783172696	0.002590291887521
haplotype1	JASFZM010000003.1	414413	25	Artiodactyla	Hippopotamus amphibius kiboko	hippopotamus	mHipAmp2	TRB	0.287804677942053	medium	0.5134408602150538	84.59857693295446	0.9861111111111112	8.0	0.0146472239046555	0.117025768979255	0.0266135473549333	0.0208463537582073	0.0057575413898695	0.0021958770598412
alternate	h2tg000012l	794001	80	Primates	Lemur catta	Ring-tailed lemur	mLemCat1	IGH	0.0007607043316066	low	0.553475935828877	97.47457992349075	1.0	80.0	0.0286334651971471	0.0887706690545729	0.005926944676392	0.0325049968450921	0.0976484916265848	0.0035969727997823
alternate	h2tg000086l	131516	11	Primates	Lemur catta	Ring-tailed lemur	mLemCat1	IGK	0.0	low	0.5982905982905983	81.64073317754223	0.935483870967742	0.0	0.0056114845342011	0.1893001611971167	0.0407478937923902	0.0126904711213844	0.0	0.0030794732199884
primary	SUPER_21	1211165	124	Primates	Lemur catta	Ring-tailed lemur	mLemCat1	IGL	0.2961570058579962	medium	0.648876404494382	93.78468069544738	1.0	55.64516129032258	0.0100407458934166	0.1407884144604575	0.0247786222356161	0.0244921212221291	0.0078445133404614	0.0017346934563003
primary	SUPER_1	532907	41	Primates	Lemur catta	Ring-tailed lemur	mLemCat1	TRA	0.0	low	0.5337078651685393	77.03677553243115	0.9653979238754326	9.75609756097561	0.0107786161562899	0.1793483666005513	0.0225799248274089	0.0407782220912842	0.013685314698437	0.0023118480335217
alternate	h2tg000014l	208213	15	Primates	Lemur catta	Ring-tailed lemur	mLemCat1	TRB	0.0	low	0.4617737003058104	69.49551162885166	0.9657534246575342	13.33333333333333	0.009576731520126	0.1085907220010277	0.0257620801775105	0.0237353095147757	0.0102779365361432	0.0015993237694092
primary	HiC_scaffold_5_arrow_ctg1	1899974	39	Carnivora	Lutra lutra	Eurasian river otter	mLutLut1	IGH	0.0544575873143527	low	0.8385093167701864	94.7963715777656	1.0	48.71794871794871	0.01776182200388	0.3917074654705801	0.0112364695516886	0.0183781462272641	0.0101790866611858	0.0058279744880719
primary	HiC_scaffold_4_arrow_ctg1	712835	37	Carnivora	Lutra lutra	Eurasian river otter	mLutLut1	IGK	0.0	low	0.5786666666666667	88.81978511589995	1.0	29.72972972972973	0.0147495563489447	0.2141168713657438	0.0098956981629689	0.0483884769967804	0.0050530627704868	0.0052270160696374
primary	HiC_scaffold_7_arrow_ctg1	3432068	56	Carnivora	Lutra lutra	Eurasian river otter	mLutLut1	IGL	0.009952891376278	low	0.5940054495912807	82.76953652380575	1.0	7.14285714285714	0.020550292127079	0.3157361683975958	0.0068780688494517	0.0191109267065804	0.0099115169046767	0.0059774456683259
primary	HiC_scaffold_5_arrow_ctg1	659217	27	Carnivora	Lutra lutra	Eurasian river otter	mLutLut1	TRA	0.0	low	0.5446927374301676	78.31506556308261	0.9112627986348124	0.0	0.0180122782027769	0.1988950527671464	0.0109554213559419	0.0227421319535145	0.006025330050651	0.0068065599036432
primary	HiC_scaffold_13_arrow_ctg1	122047	5	Carnivora	Lutra lutra	Eurasian river otter	mLutLut1	TRB	0.0	low	0.5466666666666666	58.66724489532512	0.6446991404011462	0.0	0.0205330733242111	0.1414373151326947	0.0121100887363065	0.0192794579137545	0.0051209779838914	0.0082591132924201
primary	Super_Scaffold_2	1122541	29	Carnivora	Lynx canadensis	Canada lynx	mLynCan4	IGH	0.4534213004246615	medium	0.5799457994579946	91.036820754162	0.979933110367893	24.137931034482758	0.0120432126755281	0.3922226448744411	0.0022734136214178	0.0161918362001922	0.0313752459821066	0.0060630302144865
primary	Super_Scaffold_9	149885	10	Carnivora	Lynx canadensis	Canada lynx	mLynCan4	IGK	0.0	low	0.6521739130434783	86.44974183345896	0.980327868852459	20.0	0.028688661307002	0.1452380158121226	0.0132701737999132	0.0481702638689662	0.0082663375254361	0.0142642692731093
primary	Super_Scaffold_6	893484	50	Carnivora	Lynx canadensis	Canada lynx	mLynCan4	IGL	0.0	low	0.6704225352112676	86.24376802388132	0.965034965034965	18.0	0.0218179620452073	0.1936979285583177	0.0126090674259415	0.037037037037037	0.0119185122509188	0.0073095880843977
primary	Super_Scaffold_2	498448	28	Carnivora	Lynx canadensis	Canada lynx	mLynCan4	TRA	0.0	low	0.5318559556786704	72.94648684215257	1.0	10.71428571428571	0.0291384457355631	0.1653953872821237	0.0146314159150001	0.0254911244502937	0.0096880717747889	0.0167499919750906
primary	Super_Scaffold_5	129130	5	Carnivora	Lynx canadensis	Canada lynx	mLynCan4	TRB	0.0	low	0.5225464190981433	57.65958807131051	0.598314606741573	0.0	0.0245101835359715	0.1925733756679315	0.0087741036165104	0.0224889646093084	0.0043367149384341	0.0101912801053202
primary	NW_025814831.1	1223954	36	Carnivora	Lynx rufus	Bobcat	mLynRuf1	IGH	0.7465043620920394	high	0.5826558265582655	91.50842918370964	0.9865319865319864	19.44444444444444	0.0123386990033939	0.4023476372478051	0.0025605537463009	0.0168151744264898	0.0390995086416646	0.0068033602570031
primary	NW_025814896.1	149194	10	Carnivora	Lynx rufus	Bobcat	mLynRuf1	IGK	0.0	low	0.6656976744186046	87.1379719830331	0.96742671009772	30.0	0.0269313779374505	0.1485448476480287	0.0133249326380417	0.0455849430942263	0.0083113261927423	0.0128758529163371
primary	NW_025814839.1	1177296	71	Carnivora	Lynx rufus	Bobcat	mLynRuf1	IGL	0.003470664981449	low	0.6751412429378532	89.71987948198583	1.0	23.94366197183098	0.0214601935282206	0.1934313885378018	0.0109139927426917	0.0378434990011008	0.0139659015234911	0.0087446147782715
primary	NW_025814827.1	494326	30	Carnivora	Lynx rufus	Bobcat	mLynRuf1	TRA	0.0	low	0.5318559556786704	76.58207259922047	0.9929824561403509	23.333333333333332	0.0281575316693841	0.1632485444827907	0.0144479553978548	0.0248783191658945	0.010027795422454	0.0177049153797291
primary	NW_025814856.1	129509	6	Carnivora	Lynx rufus	Bobcat	mLynRuf1	TRB	0.0	low	0.526595744680851	58.285314873773	0.6022408963585434	0.0	0.0255426263811781	0.1947200580654626	0.0087484267502644	0.0215969546518002	0.0043240238130168	0.0102155062582523
