Order	LatinName	CommonName	sample	locus	exp_area	pi_mean	size2	pair12	pairPN	#genes	12%pairs	12%genes	PN%pairs	PN%genes
Carnivora	Zalophus californianus	California sea lion	mZalCal1	TRB	99.85134465614144	99.80363279332352	8	8	0	16	100.0	100.0	0.0	0.0
Cingulata	Dasypus novemcinctus	nine-banded armadillo	mDasNov1	TRB	94.53288874674756	96.47917230676968	16	15	0	40	93.75	75.0	0.0	0.0
Dermoptera	Cynocephalus volans	Philippine flying lemur	mCynVol1	TRB	98.03123216051166	96.39172538739588	37	35	2	82	94.5945945945946	85.36585365853658	5.405405405405405	4.878048780487805
Artiodactyla	Orcinus orca	killer whale	mOrcOrc1	TRB	99.06982736197617	99.71926713947992	5	5	0	10	100.0	100.0	0.0	0.0
Rodentia	Dipodomys merriami	Merriam’s Kangaroo Rat	mDipMer1.0	TRB	95.99086420865152	97.52757251691872	5	5	1	12	100.0	83.33333333333334	20.0	16.666666666666664
Chiroptera	Corynorhinus townsendii	Townsend's Big-eared Bat	mCorTow1.0	TRB	97.40902862080311	99.53818031683927	10	10	0	21	100.0	95.23809523809524	0.0	0.0
Rodentia	Thomomys bottae	Botta's pocket gopher	mThoBot1.0	TRB	99.48936948578208	96.25198726408276	5	4	0	17	80.0	47.05882352941176	0.0	0.0
Carnivora	Meles meles	European badger	mMelMel3	TRB	99.9988346437116	100.0	6	6	0	12	100.0	100.0	0.0	0.0
Rodentia	Microtus californicus	California Vole	mMicCal1.0	TRB	97.87138020028256	89.8154385775139	2	2	1	6	100.0	66.66666666666666	50.0	33.33333333333333
Carnivora	Mustela lutreola	European mink	mMusLut2	TRB	99.59286524035308	98.80258117092082	8	8	1	17	100.0	94.11764705882352	12.5	11.76470588235294
Primates	Nycticebus coucang	slow loris	mNycCou1	TRB	98.2928261812126	96.72266793296856	22	22	1	47	100.0	93.61702127659576	4.545454545454546	4.25531914893617
Carnivora	Martes martes	European pine marten	mMarMar1	TRB	99.63456757365115	95.8500881834215	8	8	1	16	100.0	100.0	12.5	12.5
Carnivora	Mirounga angustirostris	Northern Elephant Seal	mMirAng1	TRB	99.71796079690698	100.0	5	5	0	10	100.0	100.0	0.0	0.0
Chiroptera	Eptesicus nilssonii	northern bat	mEptNil1	TRB	34.363419918779954	80.62869000314268	8	6	1	24	75.0	50.0	12.5	8.333333333333332
Artiodactyla	Hippopotamus amphibius kiboko	hippopotamus	mHipAmp2	TRB	97.84774261117592	99.27271967808537	25	24	0	56	96.0	85.71428571428571	0.0	0.0
Perissodactyla	Equus caballus	horse	mEquCab1	TRB	99.22731325128323	98.0574867755844	43	42	2	88	97.67441860465117	95.45454545454544	4.651162790697675	4.545454545454546
Hyracoidea	Heterohyrax brucei	Yellow-spotted hyrax	mHetBru1	TRB	98.98295492481756	97.63466336536212	10	10	0	21	100.0	95.23809523809524	0.0	0.0
Pholidota	Manis pentadactyla	Chinese pangolin	mManPen7	TRB	93.51696547964676	91.20823709924896	8	7	0	17	87.5	82.35294117647058	0.0	0.0
Chiroptera	Myotis daubentonii	Daubenton's bat	mMyoDau2	TRB	96.63351072713137	96.5809567481929	13	13	1	30	100.0	86.66666666666667	7.6923076923076925	6.666666666666667
Rodentia	Peromyscus maniculatus	deer mouse	mPerMan1.0	TRB	86.97875588320615	93.77694929951296	5	5	0	14	100.0	71.42857142857143	0.0	0.0
Carnivora	Puma concolor	Mountain Lion	mPumCon1.1	TRB	99.99652767060704	100.0	7	7	0	14	100.0	100.0	0.0	0.0
Chiroptera	Plecotus auritus	brown big-eared bat	mPleAur1	TRB	90.32717070793817	94.6132508027598	12	12	1	29	100.0	82.75862068965517	8.333333333333332	6.896551724137931
Carnivora	Mustela erminea	stoat	mMusErm1	TRB	99.5693921858719	97.9804218481871	7	7	0	24	100.0	58.333333333333336	0.0	0.0
Artiodactyla	Camelus dromedarius	dromedary	mCamDro1	TRB	96.73812045712714	97.80756297473492	12	11	0	31	91.66666666666666	70.96774193548387	0.0	0.0
Perissodactyla	Diceros bicornis	black rhinoceros	mDicBic1	TRB	98.42037888325136	97.82741648069116	33	33	0	70	100.0	94.28571428571428	0.0	0.0
